line,entry,resolved_relative,resolved_path,exists,is_dir,problems,ok
13,isaac_assets/,isaac_assets,E:\CODING\GitHub\FoundationPose\data\pallet\isaac_assets,True,True,,True
17,archive/_noai_quarantine_usd/,archive/_noai_quarantine_usd,E:\CODING\GitHub\FoundationPose\data\pallet\archive\_noai_quarantine_usd,True,True,,True
21,archive/_pallet_catalog_0123/,archive/_pallet_catalog_0123,E:\CODING\GitHub\FoundationPose\data\pallet\archive\_pallet_catalog_0123,True,True,,True
22,archive/_efront_12kp_check/,archive/_efront_12kp_check,E:\CODING\GitHub\FoundationPose\data\pallet\archive\_efront_12kp_check,True,True,,True
23,archive/_floor_applied14/,archive/_floor_applied14,E:\CODING\GitHub\FoundationPose\data\pallet\archive\_floor_applied14,True,True,,True
24,archive/_floor_compare/,archive/_floor_compare,E:\CODING\GitHub\FoundationPose\data\pallet\archive\_floor_compare,True,True,,True
34,archive/legacy_datasets/noai_baked/training_data/,archive/legacy_datasets/noai_baked/training_data,E:\CODING\GitHub\FoundationPose\data\pallet\archive\legacy_datasets\noai_baked\training_data,True,True,,True
35,archive/legacy_datasets/noai_baked/training_data_v4/,archive/legacy_datasets/noai_baked/training_data_v4,E:\CODING\GitHub\FoundationPose\data\pallet\archive\legacy_datasets\noai_baked\training_data_v4,True,True,,True
36,archive/legacy_datasets/noai_baked/training_data_v4_split/,archive/legacy_datasets/noai_baked/training_data_v4_split,E:\CODING\GitHub\FoundationPose\data\pallet\archive\legacy_datasets\noai_baked\training_data_v4_split,True,True,,True
37,archive/legacy_datasets/noai_baked/train_4pallet_mask_v1/,archive/legacy_datasets/noai_baked/train_4pallet_mask_v1,E:\CODING\GitHub\FoundationPose\data\pallet\archive\legacy_datasets\noai_baked\train_4pallet_mask_v1,True,True,,True
45,archive/packages/dataset_bundles/train_4pallet_mask_v1.zip,archive/packages/dataset_bundles/train_4pallet_mask_v1.zip,E:\CODING\GitHub\FoundationPose\data\pallet\archive\packages\dataset_bundles\train_4pallet_mask_v1.zip,True,False,,True
52,archive/training_data_v4_split_GREYBUG/,archive/training_data_v4_split_GREYBUG,E:\CODING\GitHub\FoundationPose\data\pallet\archive\training_data_v4_split_GREYBUG,True,True,,True
53,archive/training_data_v4_split_bg1bak/,archive/training_data_v4_split_bg1bak,E:\CODING\GitHub\FoundationPose\data\pallet\archive\training_data_v4_split_bg1bak,True,True,,True
54,archive/training_data_v4_emptywood/,archive/training_data_v4_emptywood,E:\CODING\GitHub\FoundationPose\data\pallet\archive\training_data_v4_emptywood,True,True,,True
55,archive/training_data_v4_pilotA/,archive/training_data_v4_pilotA,E:\CODING\GitHub\FoundationPose\data\pallet\archive\training_data_v4_pilotA,True,True,,True
62,archive/packages/background_sources/,archive/packages/background_sources,E:\CODING\GitHub\FoundationPose\data\pallet\archive\packages\background_sources,True,True,,True
